respondent_id,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children,employment_industry,employment_occupation
51,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,4,1,3,3,0,1,2,0,1,0,0,0,0,0,7,13
52,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,5,2,4,4,2,2,2,3,0,0,2,1,1,0,4,2,1,0,4,17
53,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,4,2,2,3,3,0,0,1,0,1,2,1,0,0,0,20,7
54,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,3,4,2,4,4,4,0,3,0,1,2,0,0,2,6,0,0,1,20,9
55,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,4,2,2,4,2,2,3,3,0,1,1,1,1,0,7,0,1,0,12,14
56,2,1,0,1,0,1,1,1,1,0,0,1,0,0,1,4,2,2,5,5,2,4,1,0,1,1,0,1,0,2,2,0,0,0,1
57,3,1,0,1,1,1,0,0,1,0,0,0,0,0,1,5,2,4,4,4,1,3,0,0,0,2,1,0,0,7,1,1,0,12,14
58,2,2,0,1,0,1,0,0,0,0,1,1,0,0,1,4,2,2,4,2,2,2,3,0,1,1,1,1,0,8,1,1,2,7,13
59,3,1,0,1,0,1,1,1,1,0,1,0,0,0,1,2,5,5,4,1,4,1,2,2,1,0,1,0,2,6,1,1,2,20,20
60,3,2,0,1,0,1,1,1,1,1,1,1,0,1,1,4,4,5,4,4,1,2,3,0,1,1,0,1,0,4,0,0,0,4,0
61,3,2,0,1,0,1,1,1,1,0,0,0,0,0,1,3,4,5,3,5,5,2,3,0,0,2,1,1,0,4,0,1,2,17,9
62,2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,4,1,2,5,1,2,1,1,0,0,0,0,1,2,9,0,2,0,20,5
63,2,1,0,1,0,1,1,0,1,1,1,1,0,0,1,4,4,4,4,4,1,0,1,0,0,0,0,1,0,5,1,3,1,20,0
64,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,2,3,4,5,2,3,3,1,1,0,0,0,7,2,1,2,20,3
65,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,1,3,1,1,3,3,1,1,2,0,0,0,4,0,0,0,4,21
66,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,2,4,2,4,0,1,1,0,0,0,0,1,1,2,1,2,20,2
67,2,2,0,0,0,1,0,0,1,1,1,0,0,0,0,4,2,2,4,4,2,1,3,1,0,1,0,1,0,1,1,0,1,2,21
68,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3,2,2,4,4,4,4,3,0,1,1,0,1,1,2,2,1,0,20,11
69,1,2,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,5,1,1,4,2,0,1,1,0,1,1,5,0,0,0,20,6
70,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4,1,5,5,2,5,0,3,0,0,1,1,1,0,0,0,2,1,14,3
71,3,1,0,0,0,1,1,1,1,0,1,1,0,0,0,5,4,4,5,4,1,4,0,0,1,0,0,0,1,3,0,0,0,20,15
72,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,4,1,1,4,0,0,0,1,0,1,1,3,1,0,0,20,1
73,3,2,0,1,0,1,0,0,1,0,0,0,0,0,1,5,2,4,5,5,1,4,3,0,1,1,0,0,1,8,0,0,0,20,3
74,2,1,0,0,0,1,1,1,0,1,1,1,0,0,0,5,4,4,5,5,5,0,2,0,1,0,1,0,1,2,2,1,0,20,5
75,3,1,0,1,0,1,1,1,1,1,1,1,0,0,1,5,4,4,5,4,4,2,2,0,0,0,1,1,0,2,0,1,2,20,13
76,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,4,2,2,5,4,2,3,3,0,0,2,0,1,0,4,1,1,0,9,22
77,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,5,1,1,5,5,4,1,1,0,1,2,1,1,0,7,1,1,2,2,11
78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,1,5,2,1,4,3,0,0,1,0,1,1,8,0,0,0,20,20
79,3,1,0,1,0,0,1,1,1,0,0,0,0,0,1,5,4,2,5,5,1,4,0,3,0,1,1,1,0,1,2,1,0,12,9
80,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,4,1,1,4,1,1,2,1,0,0,1,0,1,0,0,2,0,0,14,20
81,3,1,0,1,0,1,0,1,1,0,0,0,0,0,1,4,2,2,5,2,1,3,2,0,1,1,1,1,0,6,0,1,0,2,11
82,2,2,0,1,0,1,1,1,1,0,0,0,0,1,1,5,4,4,5,4,4,0,3,0,1,1,1,1,0,8,0,1,1,3,4
83,3,1,0,1,0,1,1,1,1,1,1,1,0,0,1,4,4,4,4,4,4,2,3,1,1,1,0,1,0,7,0,0,1,4,3
84,2,2,0,0,1,1,0,0,1,0,0,0,0,1,0,5,4,1,5,4,1,4,1,0,1,2,1,1,1,8,2,1,0,20,12
85,2,1,0,1,0,1,1,1,1,0,0,1,1,1,1,5,4,2,5,4,4,3,1,0,1,1,1,1,0,3,1,1,0,2,0
86,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,4,1,2,2,0,0,0,2,1,1,2,3,0,2,1,20,8
87,3,1,0,1,0,1,1,1,1,0,0,0,1,0,1,3,4,2,4,4,5,0,1,0,1,1,1,1,1,9,0,1,1,20,3
88,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,4,1,1,4,1,4,4,1,3,1,1,0,0,1,0,2,0,0,20,14
89,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,2,4,0,3,3,1,1,1,0,0,0,1,1,0,7,13
90,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,3,3,2,3,2,2,0,3,3,1,2,0,0,0,9,2,0,0,2,7
91,2,2,1,1,0,1,1,1,1,0,1,1,0,0,1,4,4,2,5,4,1,0,1,0,1,1,1,1,1,2,2,1,2,20,22
92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,4,1,1,0,1,0,0,1,0,1,0,0,1,0,0,12,14
93,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,4,4,5,4,2,0,3,3,0,1,1,0,1,3,0,1,2,20,20
94,2,0,1,0,0,1,0,1,1,0,1,0,0,0,1,5,5,5,5,5,1,1,3,2,1,2,0,0,2,7,0,1,3,20,18
95,2,2,0,1,0,1,1,0,1,1,1,0,0,0,1,5,2,4,5,2,4,0,3,0,1,1,0,1,2,1,1,2,0,20,13
96,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,5,4,4,5,5,2,4,2,0,1,1,0,1,1,1,2,0,0,20,6
97,2,2,0,1,0,1,0,0,1,0,0,1,0,0,0,5,2,1,5,4,1,2,3,0,0,2,0,1,1,4,1,1,0,20,20
98,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,5,2,2,5,0,2,0,1,0,0,1,1,5,1,3,3,20,8
99,2,0,1,1,0,1,1,0,1,0,0,1,0,0,0,3,4,2,5,1,2,4,0,2,0,0,1,0,1,5,0,1,0,20,8
100,2,1,0,1,0,1,0,1,1,1,1,0,0,0,0,4,3,2,2,3,4,0,1,0,1,1,0,0,0,3,1,1,0,3,3
101,1,2,0,1,0,1,0,0,1,1,1,1,1,1,1,4,5,1,1,5,1,2,2,0,1,2,1,1,0,5,2,1,0,15,6
102,2,2,0,1,0,1,0,0,0,1,1,1,0,0,1,3,5,1,5,2,4,4,3,0,0,2,1,1,1,9,1,1,0,20,2
103,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,3,1,1,4,1,2,2,1,0,0,0,1,1,2,3,2,1,1,20,11
104,2,0,0,1,0,1,1,1,1,0,0,0,0,0,1,2,2,1,2,3,4,4,3,0,1,0,0,1,1,4,0,0,0,20,17
105,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,5,1,1,5,2,1,1,1,0,1,1,0,1,0,2,0,1,1,20,9
106,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,4,1,1,4,1,1,0,3,0,1,1,0,1,2,0,0,2,0,20,9
107,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,5,4,1,5,4,1,2,3,0,0,2,1,1,0,0,2,1,2,7,13
108,3,2,0,1,0,1,0,0,0,0,0,0,0,0,1,5,2,1,2,2,1,1,3,3,1,2,1,1,0,6,0,1,2,9,12
109,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,3,2,1,4,1,1,4,1,2,1,0,1,1,1,6,1,3,3,20,5
110,2,2,0,1,0,1,0,0,1,1,1,0,1,0,1,5,4,4,5,4,4,3,3,0,1,1,1,1,1,0,2,1,0,20,5
111,2,1,0,1,0,1,1,1,1,0,0,0,0,0,1,3,2,4,4,2,4,2,2,0,0,2,1,1,0,1,0,1,0,12,14
112,3,2,0,1,0,1,0,0,1,1,1,1,0,0,1,4,4,4,5,4,4,3,1,2,1,1,0,1,0,7,0,2,0,4,0
113,2,1,0,1,0,1,1,1,0,0,0,0,1,0,1,3,2,2,5,4,1,1,1,0,0,1,0,0,0,9,0,2,0,12,14
114,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,4,1,2,4,2,2,1,3,0,1,1,1,1,0,2,0,1,2,2,4
115,3,0,0,1,0,1,1,1,1,0,0,0,0,0,1,4,4,3,4,4,3,4,0,2,1,2,0,0,1,7,0,0,0,20,5
116,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4,2,1,5,2,2,3,1,0,1,1,1,1,0,2,2,1,0,19,3
117,2,1,0,1,0,1,1,1,1,0,0,0,0,0,1,4,4,4,5,2,2,3,1,3,0,0,1,1,2,9,1,1,0,20,11
118,0,2,0,1,0,1,0,1,1,0,0,0,0,1,1,3,1,1,4,2,2,2,2,0,1,1,1,1,0,9,0,1,0,2,4
119,3,2,1,1,0,1,0,0,1,0,0,0,0,0,0,3,4,4,4,4,4,1,3,1,0,1,0,1,0,4,0,1,0,9,10
120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,2,1,1,1,0,1,1,1,1,1,1,2,1,0,20,16
121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,4,2,2,3,3,0,0,1,0,0,0,4,0,0,0,6,3
122,2,2,0,1,0,0,0,1,0,1,1,1,0,0,1,5,4,1,5,5,1,4,0,0,1,0,0,0,1,4,0,0,0,20,2
123,3,2,0,1,0,1,0,0,0,1,0,1,0,0,0,5,2,2,5,3,2,4,3,0,0,2,1,1,1,6,0,1,0,20,4
124,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1,1,5,1,1,0,3,0,0,1,1,1,0,7,0,1,0,7,13
125,2,1,0,1,0,1,0,0,1,0,1,0,0,0,1,4,3,2,4,3,1,1,3,0,1,1,1,1,1,8,0,1,3,20,12
126,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,1,4,4,2,3,1,0,0,1,1,1,0,3,0,1,0,10,20
127,0,2,0,1,0,1,0,1,1,0,0,0,0,0,1,4,5,5,5,5,5,2,2,0,1,1,1,0,1,7,0,3,0,20,15
128,3,1,0,1,0,1,1,0,1,0,1,0,0,0,1,5,2,4,5,4,2,4,1,0,1,1,0,1,1,2,2,0,0,20,5
129,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4,2,1,4,4,2,2,3,2,1,1,0,1,0,8,1,0,0,3,5
130,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,4,4,4,4,4,4,3,2,0,0,1,0,0,0,3,2,1,0,14,18
131,3,1,0,1,0,1,0,1,1,0,1,0,0,0,0,4,4,4,4,4,5,3,2,1,1,1,0,1,0,1,1,0,0,10,11
132,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,5,4,2,5,2,5,1,2,2,0,1,1,0,0,3,1,1,2,3,18
133,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,4,5,4,1,4,3,0,0,1,0,1,1,1,0,0,0,20,3
134,2,2,0,0,1,1,0,1,1,0,0,0,0,0,1,5,1,2,5,2,2,4,2,0,1,1,0,1,1,0,0,0,0,20,5
135,3,1,0,1,0,1,1,0,1,0,0,0,0,0,1,5,2,4,5,4,2,4,1,0,1,1,0,1,1,6,0,0,0,20,6
136,3,2,0,1,0,1,1,1,1,1,1,1,1,0,1,5,4,2,5,4,2,4,2,0,0,1,0,1,0,2,2,0,0,0,1
137,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,4,5,2,2,3,3,0,0,1,1,1,1,3,1,1,0,20,9
138,3,2,0,1,0,1,0,0,1,0,0,0,0,0,1,4,2,2,4,2,1,4,3,0,1,2,1,1,1,5,0,1,0,20,8
139,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,4,1,1,1,1,1,0,0,2,1,0,1,0,0,1,0,1,3,1,2
140,2,2,0,1,0,1,0,1,1,0,0,0,0,0,1,5,2,1,5,4,1,3,2,0,1,1,1,1,1,5,0,1,0,20,21
141,3,2,0,1,0,1,1,1,0,0,0,0,0,1,0,4,1,1,4,1,1,3,3,0,0,2,1,1,0,9,2,1,0,2,4
142,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,3,2,2,4,2,1,3,1,0,1,1,0,0,0,1,1,0,0,13,3
143,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2,2,4,4,2,1,3,0,1,1,0,1,0,6,1,0,0,5,17
144,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,5,4,5,4,4,4,2,3,0,1,1,0,0,0,8,2,0,1,2,9
145,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,5,1,3,4,1,5,4,2,0,1,1,0,0,1,3,0,0,0,20,15
146,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,5,4,1,5,4,1,2,3,2,1,2,1,1,1,2,0,2,2,20,3
147,2,1,0,1,1,1,1,1,1,0,1,1,0,1,1,3,5,2,4,5,2,4,2,0,1,1,0,1,0,6,0,0,0,2,3
148,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,4,2,2,4,2,1,3,3,0,0,2,1,1,0,7,2,1,0,2,4
149,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,4,1,1,0,0,0,0,1,0,0,0,3,0,1,0,12,14
150,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2,4,4,2,4,1,3,0,1,2,1,1,0,6,0,1,0,5,0
151,2,2,0,1,0,1,1,1,1,0,0,0,0,0,1,5,4,1,5,5,1,4,3,0,0,1,0,0,1,2,1,0,0,20,19
152,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,4,2,4,4,4,1,2,2,0,1,1,1,1,0,3,2,1,1,6,6
153,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,2,2,2,5,4,4,2,3,3,0,0,0,0,0,1,0,2,1,7,13
154,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,1,2,1,1,4,2,0,1,2,0,1,1,8,2,0,0,20,11
155,2,1,0,1,0,1,1,0,1,0,0,1,0,0,1,3,4,4,5,4,2,1,3,0,1,2,1,1,0,4,1,1,2,7,13
156,1,2,0,1,0,1,0,0,1,0,0,0,0,0,1,4,2,2,4,2,1,2,1,0,0,1,1,1,0,1,0,1,0,11,0
157,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4,1,1,4,2,1,2,1,0,0,1,0,0,0,1,2,0,0,3,3
158,2,2,0,1,0,1,0,0,1,0,0,1,0,1,1,4,1,1,4,2,1,3,3,0,1,0,1,1,0,5,2,2,0,2,4
159,2,1,0,1,0,1,1,1,1,0,0,1,0,1,0,4,4,4,4,4,4,0,1,0,1,0,0,1,0,1,0,1,0,2,4
160,0,2,0,1,0,1,1,0,1,0,1,1,0,0,1,4,1,1,4,4,1,4,2,0,1,1,1,1,1,9,2,1,0,20,10
161,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,4,2,2,4,1,2,1,3,1,1,2,1,1,0,1,0,1,2,4,9
162,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,1,1,4,1,1,1,3,0,0,1,1,1,0,3,0,1,3,4,17
163,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,4,2,4,4,2,1,0,0,3,0,1,1,0,0,0,0,1,3,6,9
164,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,4,1,1,4,2,2,4,3,0,0,2,0,1,1,5,1,0,0,20,8
165,3,1,0,1,1,1,1,1,1,0,1,1,0,0,1,5,4,5,5,2,5,1,1,1,1,0,0,0,2,4,1,1,2,20,6
166,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,4,2,2,2,2,2,1,3,0,1,2,1,1,0,3,2,1,2,2,4
167,2,1,0,1,0,1,1,1,1,0,0,1,0,0,1,5,2,2,5,1,1,3,1,0,1,0,1,0,1,6,1,1,0,20,0
168,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,5,5,2,5,5,1,2,0,0,0,0,1,1,2,4,2,1,0,20,12
169,2,1,0,1,0,1,0,0,1,1,0,0,0,0,1,4,1,4,4,4,1,3,2,0,0,1,1,1,0,9,2,1,0,12,9
170,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,4,4,4,4,4,0,1,2,0,1,0,0,0,7,2,2,3,6,6
171,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,4,2,4,4,2,4,1,2,0,1,1,0,0,0,4,2,0,3,2,15
172,3,2,0,1,0,1,0,0,1,1,1,0,0,0,1,5,1,2,5,4,2,3,3,0,1,1,1,1,1,0,1,1,0,20,19
173,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,5,1,1,0,1,2,0,1,0,1,2,7,2,2,0,20,3
174,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,2,2,4,1,1,0,3,0,1,2,1,1,0,1,1,3,1,16,9
175,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,3,3,2,3,1,1,4,0,0,1,2,1,1,2,5,1,1,0,20,21
176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,1,1,0,3,0,0,1,0,0,0,2,2,0,0,4,17
177,2,2,0,1,0,1,0,0,1,0,0,0,0,0,1,4,4,4,5,4,1,0,2,0,1,1,0,0,0,1,1,0,0,1,2
178,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,5,2,5,4,5,1,0,0,1,0,1,1,1,3,0,1,1,20,11
179,1,2,0,1,0,1,0,0,1,0,0,0,0,0,1,4,2,2,4,2,2,1,3,2,1,2,1,1,1,2,0,1,3,20,2
180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,2,2,0,0,2,0,1,0,9,0,0,0,12,14
181,3,1,0,1,0,1,1,1,1,0,0,0,0,0,0,5,2,4,5,5,4,2,1,0,1,1,1,1,0,3,0,1,0,3,5
182,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,4,2,1,4,2,2,4,2,0,1,1,1,1,1,3,0,1,0,20,18
183,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,5,1,2,2,1,1,1,3,0,1,1,0,1,0,9,1,2,3,20,10
184,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,4,1,1,2,3,0,1,2,1,1,0,4,0,2,0,7,12
